Dates,ABI BB Equity,AD NA Equity,ADS GY Equity,AI FP Equity,AIR FP Equity,ALV GY Equity,AMS SQ Equity,ASML NA Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,CRH ID Equity,CS FP Equity,DAI GY Equity,DG FP Equity,DPW GY Equity,DTE GY Equity,EL FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,FP FP Equity,FRE GY Equity,GLE FP Equity,IBE SQ Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,KER FP Equity,LIN GY Equity,MC FP Equity,MUV2 GY Equity,NOKIA FH Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,SAF FP Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SIE GY Equity,SU FP Equity,TEF SQ Equity,UNA NA Equity,URW NA Equity,VIV FP Equity,VOW3 GY Equity
3/23/2001,17.66,40.2199,14.703,35.4395,18.93,292.268,#N/A N/A,25.88,21.55,42.727,13.5849,33.05,32.2951,42.0699,14.9284,26.9251,49.3,16.4452,19.09,24.9,16,6.3433,#N/A N/A,13.514,36.2688,8.672,53.6267,4.005,25.7469,3.8537,#N/A N/A,172.76,#N/A N/A,48.44,301.959,29.47,73.75,51.5084,30.56,14.5714,59.65,8.8584,33.098,71.082,30.3404,15.0305,18.7833,#N/A N/A,62.2257,30.267
3/30/2001,18.12,42.812,14.878,36.5162,21.01,295.888,#N/A N/A,25.2,22.63,44.377,14.8434,34.57,33.9228,45.9514,15.7427,29.7357,50.65,17.1815,19.4,26.75,16.25,6.5478,#N/A N/A,14.778,37.8725,9.377,61.6905,4.02,28.4115,4.0094,#N/A N/A,178.43,#N/A N/A,51.37,318.908,27.21,76.9,57.2459,31.1,15.0857,63.2,9.4912,32.188,74.68,32.6666,16.4792,19.9833,#N/A N/A,66.6289,31.509
4/6/2001,18.76,42.2522,15.335,37.2263,19.5,277.519,#N/A N/A,23.77,22.23,42.137,14.4591,34.6,31.4694,45.5657,16.4122,28.3422,51.6,16.4206,18.47,26.21,15.95,6.6483,#N/A N/A,14.9,38.6867,8.347,61.2499,4.2375,28.8338,3.9804,#N/A N/A,176.23,#N/A N/A,51.73,320.524,26.7,77.1,60.5677,29.29,15.3686,65.8,9.537,30.925,73.562,32.6171,16.6603,19.6667,#N/A N/A,64.8386,30.297
4/13/2001,18.32,43.0189,15.7,38.0281,20.55,273.719,#N/A N/A,26.33,23.75,45.086,15.0356,36.56,33.4038,46.8676,16.6203,29.7121,52.65,16.6906,18.5,28.64,16,6.821,#N/A N/A,14.942,39.5996,8.754,61.9549,4.225,29.6746,4.0413,#N/A N/A,182.09,#N/A N/A,53.49,314.818,30.15,80.85,65.2698,32.3,16.1057,63.5,10.0322,34.278,81.399,34.0525,17.6292,20.3333,#N/A N/A,70.016,31.708
4/20/2001,18.16,42.2279,16.825,38.0281,19.9,273.04,#N/A N/A,29.66,24.52,45.861,14.5936,38.01,33.2623,47.7355,16.4212,30.3262,55.04,15.7088,18.68,29.46,16,6.4596,#N/A N/A,14.788,39.3282,9.133,63.0125,4.1975,28.7954,4.0713,#N/A N/A,178.43,#N/A N/A,54.93,302.158,34.65,81.9,68.7641,32.48,15.66,61.7,9.7296,40.75,82.387,36.4282,17.6111,20.3333,#N/A N/A,72.4353,33.696
4/27/2001,18.76,42.5929,17.128,38.0739,20.63,289.554,#N/A N/A,29.8,24.4,44.155,15.1317,37.21,34.371,48.1694,16.7379,31.2709,54.75,16.3838,18.84,28.49,16.3,6.5901,#N/A N/A,15.476,41.8694,9.377,65.7445,4.125,29.5518,4.0544,#N/A N/A,178.79,#N/A N/A,61.42,300.932,35.62,84.05,68.3759,33.11,15.5314,66.05,10.1789,44.313,77.594,36.849,17.0225,21.5167,#N/A N/A,74.8063,33.795
5/4/2001,17.69,42.4469,16.88,38.7154,19.93,288.206,#N/A N/A,29.55,23.575,42.819,14.9779,39.45,34.1587,46.53,17.4165,31.6488,57,16.8133,18.24,27.5,16.45,6.4438,#N/A N/A,14.648,39.5502,10.217,59.4873,4.12,27.6513,4.1201,#N/A N/A,177.97,#N/A N/A,60.88,296.756,36.85,81.8,62.7678,34.77,14.4343,66.6,9.9313,41.975,81.689,35.8096,16.9229,21.0167,#N/A N/A,73.4031,34.69
5/11/2001,18.31,43.0432,16.25,37.9594,21.7,284.324,#N/A N/A,29.53,24.285,43.501,15.3911,40.45,34.8428,48.2177,18.1222,32.8061,57.13,16.887,18.36,26.15,16.9,6.3697,#N/A N/A,14.808,41.302,10.407,60.8533,4.145,28.8722,4.1876,#N/A N/A,186.21,#N/A N/A,62.64,299.6,36.35,81,61.6461,36.42,14.8457,70,10.2706,41.875,81.903,35.2404,16.8414,21.3333,#N/A N/A,74.274,36.628
5/18/2001,18.01,43.7734,17.253,39.6317,23.27,286.839,#N/A N/A,30,24.875,43.694,15.8234,41.49,34.8664,49.6642,19.2893,33.5383,56.98,17.3042,18.49,25.53,17.1,6.3556,#N/A N/A,14.988,43.1031,10.57,64.2463,4.1975,28.2656,4.0582,#N/A N/A,191.51,#N/A N/A,60.38,293.893,38.44,77.05,62.0344,38.3,15.3,72,10.4174,42.503,85.275,36.552,16.434,21.8167,#N/A N/A,74.9515,38.268
5/25/2001,19.01,43.1406,17.668,37.9136,22.9,289.554,#N/A N/A,29.35,24.15,43.298,15.1317,40.04,34.7249,49.8088,18.1131,32.6881,56.39,17.6724,18.45,26.75,16.3,6.4085,#N/A N/A,15.138,42.9797,10.19,64.3785,3.8525,29.2178,4.1689,3.602,190.96,#N/A N/A,61.1,296.195,37,77.75,61.4736,34.67,15.2486,71.75,10.0781,44.475,87.581,36.4777,16.0175,21.65,#N/A N/A,75.4837,39.063
