Dates,ABI BB Equity,AD NA Equity,ADS GY Equity,AI FP Equity,AIR FP Equity,ALV GY Equity,AMS SQ Equity,ASML NA Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,CRH ID Equity,CS FP Equity,DAI GY Equity,DG FP Equity,DPW GY Equity,DTE GY Equity,EL FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,FP FP Equity,FRE GY Equity,GLE FP Equity,IBE SQ Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,KER FP Equity,LIN GY Equity,MC FP Equity,MUV2 GY Equity,NOKIA FH Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,SAF FP Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SIE GY Equity,SU FP Equity,TEF SQ Equity,UNA NA Equity,URW NA Equity,VIV FP Equity,VOW3 GY Equity
2/28/2002,19.54,32.4315,18.735,37.4096,14.57,235.235,#N/A N/A,23.7,22.21,33.969,12.8163,42.6,31.3751,54.052,17.4165,20.3592,46.41,17.3042,15.05,16.42,19.465,5.7148,#N/A N/A,15.866,41.9188,7.805,60.2805,3.6375,21.109,2.5276,4.532,110.63,#N/A N/A,48.67,268.213,24.57,80.8,26.2719,30.2,11.9571,75.9,8.4549,39.28,65.603,28.707,12.4496,21.8833,#N/A N/A,43.4322,35.783
3/29/2002,19.85,36.6056,20.672,38.5321,16.16,247.026,#N/A N/A,28.9,23.295,35.813,13.1141,45.63,31.8705,55.836,18.276,24.4405,52.3,18.2247,17.14,17.27,20.525,5.7209,#N/A N/A,16.774,43.6705,8.53,63.8938,3.74,23.9578,3.2572,4.31,124.26,#N/A N/A,52.63,271.609,24.23,84.75,30.3011,34.97,11.8543,73.6,8.8034,43.4,73.646,28.707,12.1051,22.0167,#N/A N/A,43.1418,40.256
4/30/2002,20.65,33.7701,18.8,39.3568,16.62,236.575,#N/A N/A,25.2,23.775,33.527,12.432,44.01,34.6777,55.9325,17.4165,22.2487,51.48,17.427,15.06,14.74,22.58,5.8117,#N/A N/A,17.039,41.4994,7.859,66.9783,3.805,22.4988,3.367,4.578,115.29,#N/A N/A,52.32,261.565,17.96,86.95,23.2607,34.27,10.8857,71.05,9.427,36.153,65.419,26.5045,11.1914,23.6667,#N/A N/A,34.2483,35.575
5/31/2002,20.29,27.9288,21.813,38.807,17.39,217.889,#N/A N/A,20.46,24.9,32.079,12.4032,45.87,34.89,58.1023,17.0998,19.7451,52.54,16.3961,15.52,11.85,21.61,5.624,#N/A N/A,16.3,41.1786,7.231,64.1141,3.725,21.7386,2.9731,4.438,121.06,#N/A N/A,51.14,234.192,15.3,76.55,17.9201,33.34,12.2571,64.95,9.0693,27.94,63.956,27.2222,10.6732,23.5833,#N/A N/A,32.5161,37.92
6/28/2002,18.17,25.9208,20.8,40.1529,15.57,184.998,#N/A N/A,16.03,23.575,29.913,11.0005,41.11,32.8377,54.0038,15.3355,17.4966,49.14,16.8501,13.09,9.5,20.585,5.0907,#N/A N/A,16.085,40.5618,5.334,58.7823,3.6875,19.9648,2.8802,4.276,109.89,#N/A N/A,45.96,228.267,14.82,79,8.1361,28.27,11.6571,61.6,7.3729,24.813,58.898,26.95,8.0073,22.4167,#N/A N/A,21.1742,32.702
7/31/2002,17.94,20.761,19.5,36.9056,16.05,131.476,#N/A N/A,12.5,19.5,23.23,9.2711,38.45,28.1668,45.2089,13.7975,12.31,43.86,14.6043,10.1,11.62,19,4.2726,#N/A N/A,15.333,36.3921,4.163,50.2337,3.04,16.9701,2.1431,4,81.44,#N/A N/A,40.65,185.657,12.7,71.5,12.683,23.1,10.68,60.2,5.7589,18.75,48.936,24.2871,8.4783,19.2333,#N/A N/A,15.7355,33.418
8/30/2002,17.01,20.7002,18.188,36.4159,13.63,118.527,#N/A N/A,10.43,21.02,22.336,9.617,38.54,30.0068,45.8646,13.1641,13.198,44.07,15.2302,11.11,11.44,20.05,4.5609,#N/A N/A,15.402,35.874,3.469,53.2742,3.2875,17.093,2.3456,3.98,76.4,#N/A N/A,38.28,176.612,13.62,73.55,11.0092,20.4,11.7686,61.15,6.2449,19.63,46.572,23.2131,8.808,20.1,#N/A N/A,12.3871,32.702
9/30/2002,14.99,14.5911,17.275,32.2151,10.75,78.406,#N/A N/A,6.22,17.95,16.086,7.2632,32.51,28.7801,31.8044,10.2689,9.3813,33.9,15.0461,8.62,8.42,20.52,4.3052,#N/A N/A,13.849,32.8639,2.277,37.596,3.275,10.758,1.5888,4.1,58.56,#N/A N/A,33.26,101.474,13.45,73,5.9877,14.7,9.9257,57.05,4.741,11.585,32.947,22.2133,7.1029,19.9333,#N/A N/A,10.9838,26.539
10/31/2002,14.22,15.4552,19.255,33.3491,11.16,95.987,#N/A N/A,8.85,18.72,17.662,9.2423,36.05,30.9033,38.8249,11.5356,14.2373,34.75,13.8434,10.33,11.53,20.325,4.3661,#N/A N/A,14.003,34.3196,3.794,45.0782,3,12.9695,1.6,4.54,73.93,#N/A N/A,40.85,122.75,17.15,75.2,9.9911,18.1,12.7371,61.75,5.6764,19.45,46.31,23.1636,9.0247,21.5333,#N/A N/A,12,27.583
11/29/2002,13.13,16.8303,20.47,34.8181,12.79,101.525,#N/A N/A,11.48,19.35,21.184,10.0782,34.11,31.0684,39.5385,13.2546,15.2576,36.64,14.1747,10.78,12.23,20.01,4.4956,#N/A N/A,14.597,33.3327,4.824,49.8812,3.255,14.7049,2.053,4.898,81.44,#N/A N/A,42.72,133.156,19.4,71.75,15.5302,22.06,12.4371,59.4,6.6026,22.04,47.841,24.1783,9.6464,19.5,#N/A N/A,15.8613,29.511
12/31/2002,14.07,14.725,20.575,32.3955,9.85,82.025,#N/A N/A,7.96,18.04,18.851,8.7619,28.92,30.2427,37.4458,10.6308,12.0832,29.35,13.1807,10,12.25,19.625,4.3722,#N/A N/A,15.15,33.5794,3.908,48.9118,3.3375,12.3936,1.8851,4.502,64.14,#N/A N/A,35.28,108.427,15.15,72.55,14.3913,16.7,11.0571,58.25,5.9973,18.88,39.246,22.3173,8.0355,19.4667,#N/A N/A,14.8935,24.85
